"id";"participant";"question";"question";"answer";"type"
1;0;"Was begeistert dich im Leben? Wofür brennst Du? ";"not yet answered";"inspiration";
2;0;"Was könntest Du tun, um mehr Dinge in Dein Leben zu bringen, die dich wirklich begeistern?";"not yet answered";"inspiration";
3;0;"Wäre Dein Leben ein Buch, wie würde Deine Geschichte bisher aussehen?";"not yet answered";"inspiration";
4;0;"Welches Kapitel würdest Du dir als nächstes für Deine Lebensgeschichte wünschen? ";"not yet answered";"inspiration";
5;0;"Was ist Deiner Meinung nach Dein bisher größter Erfolg?";"not yet answered";"inspiration";
6;0;"Was möchtest Du definitiv tun, erreichen, oder erleben bevor Du stirbst?";"not yet answered";"inspiration";
7;0;"Wer inspiriert dich und wieso ist diese Person so inspirierend für dich? ";"not yet answered";"inspiration";
8;0;"Denk für einen Moment an Dein momentanes größtes Problem.  Wenn ein Freund das gleiche Problem hätte, was würdest Du ihm sagen um ihm zu helfen?";"not yet answered";"inspiration";
9;0;"Was ist etwas, von dem Du weißt, dass Du es tun solltest, aber Probleme hast tatsächlich zu tun? ";"not yet answered";"inspiration";
10;0;"Was könntest Du jetzt tun, um die Wahrscheinlichkeit zu erhöhen, dass Du es tatsächlich tun wirst? ";"not yet answered";"inspiration";
11;0;"Was denkst Du hält dich davon ab noch mehr in Deinem Leben zu erreichen, als Du bisher erreicht hast?";"not yet answered";"inspiration";
12;0;"Wie unterscheidet sich die ideale Version Deiner selbst von der Art und Weise wie Du dich manchmal verhältst?";"not yet answered";"inspiration";
13;0;"Stelle dir vor Du bekämst einen Brief von dir selbst aus fünf Jahren aus der Zukunft. Welche Warnungen würden darin stehen, und welche Ratschläge dazu, wie Du Deine Ziele erreichen kannst?";"not yet answered";"inspiration";
14;0;"Wie hast Du das Erstellen von Zielbäumen erlebt?";"not yet answered";"feedback";
15;0;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";"not yet answered";"feedback";
16;0;"Was hältst Du von dem Konzept des Zielbaums?";"not yet answered";"feedback";
17;0;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";"not yet answered";"feedback";
18;0;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";"not yet answered";"feedback";
19;0;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";"not yet answered";"feedback";
20;12;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";;"feedback";
21;12;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";;"feedback";
22;12;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";;"feedback";
23;12;"Was hältst Du von dem Konzept des Zielbaums?";;"feedback";
24;12;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";;"feedback";
25;12;"Wie hast Du das Erstellen von Zielbäumen erlebt?";;"feedback";
26;14;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";"Nein, alles super :)";"feedback";
27;14;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";;"feedback";
28;14;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";;"feedback";
29;14;"Was hältst Du von dem Konzept des Zielbaums?";;"feedback";
30;14;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";;"feedback";
31;14;"Wie hast Du das Erstellen von Zielbäumen erlebt?";"Als etwas umständlich";"feedback";
32;15;"Wie hast Du das Erstellen von Zielbäumen erlebt?";;"feedback";
33;15;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";"Keine";"feedback";
34;15;"Was hältst Du von dem Konzept des Zielbaums?";"Ablaufüläne funktionieren für mich besser.";"feedback";
35;15;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";"Nein";"feedback";
36;15;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";;"feedback";
37;15;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";"Bei der vorherigen Seite wurden die Kästchen falsch angezeigt. Es kann sein das die Falschen Kästchen angekreuzt wurden.";"feedback";
38;16;"Wie hast Du das Erstellen von Zielbäumen erlebt?";"Hat mir geholfen zu visualisieren was ich vor habe und was mich erwartet ";"feedback";
39;16;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";"Manches ist schwer in Worte zu fassen ";"feedback";
40;16;"Was hältst Du von dem Konzept des Zielbaums?";"Gute Idee ";"feedback";
41;16;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";"Ja, da sie in Etappen unterteilt sind und nicht mehr das große Ganze sind ";"feedback";
42;16;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";"-";"feedback";
43;16;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";"Hat alles geklappt ";"feedback";
44;19;"Wie hast Du das Erstellen von Zielbäumen erlebt?";;"feedback";
45;19;"Wo waren Probleme? Auf was für Hindernisse bist Du beim Erstellen gestoßen?";;"feedback";
46;19;"Was hältst Du von dem Konzept des Zielbaums?";;"feedback";
47;19;"Würdest Du sagen, dass Deine Ziele Dir jetzt klarer erscheinen? Inwiefern?";;"feedback";
48;19;"Gibt es sonst noch etwas, das Du uns mitteilen möchtest?";;"feedback";
49;19;"Hat technisch alles funktioniert oder sind Dir Probleme aufgefallen?";;"feedback";
