;tree_id;size
0;0;15
1;1;14
2;4;13
3;6;17
4;7;17
5;12;18
6;13;16
7;15;20
8;16;13
9;31;19
10;41;17
11;43;17
12;48;17
13;55;15
14;57;17
15;63;17
16;64;17
17;65;18
18;74;17
19;76;17
20;79;14
21;82;17
22;85;14
23;87;17
24;93;17
25;103;17
26;104;17
27;106;15
28;107;20
29;108;17
30;111;15
31;112;17
32;115;15
33;116;20
34;117;25
35;121;17
36;133;17
37;134;13
38;135;17
39;136;17
40;138;16
41;143;17
42;144;13
43;145;13
44;149;17
45;150;13
46;154;17
47;155;17
48;156;19
49;157;21
50;159;34
51;161;17
52;166;17
53;167;17
54;172;17
55;176;17
56;177;14
57;180;16
58;181;17
59;184;13
60;187;17
61;192;17
62;197;17
63;203;17
64;206;23
65;207;19
66;209;19
67;210;17
68;222;17
69;224;25
70;225;24
71;226;17
72;227;14
73;228;14
74;234;17
75;236;17
76;243;17
77;244;13
78;245;19
79;246;19
80;247;15
81;248;17
82;249;17
83;250;19
84;251;14
85;254;17
86;260;17
87;261;21
88;266;17
89;271;17
90;272;17
91;277;17
92;279;16
93;280;14
94;281;15
95;283;17
96;284;17
97;288;23
98;290;13
99;291;17
100;294;17
101;296;16
102;298;14
103;299;17
104;300;14
105;303;18
106;304;15
107;305;17
108;312;17
109;318;17
110;319;16
111;324;17
112;331;17
113;340;17
114;342;14
115;345;17
116;351;17
117;352;13
118;353;13
119;354;17
120;356;14
121;357;25
122;358;16
123;360;14
124;369;17
125;376;17
126;381;17
127;383;17
128;384;17
129;389;21
130;391;30
131;392;17
132;393;17
133;394;18
134;395;15
135;399;14
136;401;13
137;418;17
138;426;17
139;427;13
140;428;16
141;430;21
142;431;17
143;438;17
144;442;17
145;444;17
146;445;22
147;452;17
148;453;17
149;455;21
150;464;17
151;465;13
152;466;13
153;469;17
154;472;17
155;484;17
156;488;17
157;503;21
158;506;54
159;510;16
160;519;18
161;521;17
162;522;13
163;524;19
164;537;16
165;550;14
166;557;23
167;558;17
168;583;18
169;603;13
170;609;13
171;625;13
172;628;14
173;633;14
174;636;13
175;641;17
176;648;14
177;649;14
178;697;14
179;710;14
180;713;16
