;id;origin;created;finished;goals;personal_goals;items
45;57c298902af6f08cab0fc57715fb18a0c3167fb77bede2cf84c11b1fa5ec4b62;sirdata;2021-11-02 10:39:25.697604+00:00;;5;2;32
73;b6583851b3dcb2fcc5be8d33003027b50239ebf031eca88bff9c2140847401c1;sirdata;2021-11-08 15:35:52.696218+00:00;;37;6;192
83;837cf82ceef935f9bca1a7bd3d5d00a9533e992bc1e58c40dd9f6526a66a39b2;sirdata;2021-11-09 07:58:43.227738+00:00;;19;3;224
254;84616aa7a633dd2317a74368c9c9966bdaa9f6706f7f0d03d269c8a516302d84;sirdata;2021-11-22 17:52:02.408611+00:00;;8;4;32
276;c3855a625836667b761bea0f80ce565547879b306e358e2241b951f7e26f60ba;sirdata;2021-11-24 08:09:26.357824+00:00;;15;4;384
335;98d4c2b7ff6a4441d53dcd4fd4c8a6c69c91d189c5d7751d3d8b3adc0fb09ca6;sirdata;2021-12-02 08:24:36.475221+00:00;;6;6;96
336;357b3295e2694f7e79bc8100bba04638161b28998f99be3ee0836d3d82aef1bd;sirdata;2021-12-02 11:24:47.274713+00:00;;48;4;100
517;7ecd21c60723377c66da75310e134ac23298af29631119732a8e2dbe18a67e55;sirdata;2022-02-17 14:56:40.439859+00:00;;23;5;640
390;c8f837652d8a48949250c12b46e20ead0491ea1404aace8464cba8e9904dcc56;sirdata;2022-01-22 20:25:27.806186+00:00;;59;1;1760
255;63917abd59dfd98d5d24860a17d02e91572c3dd141d4c81f4d2870c15d619148;sirdata;2021-11-22 19:55:09.643904+00:00;;9;3;128
